Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-11 05:12:59;393;1234;94;Kein Fehler erkannt;5.52;0;0.89;;;;;;;;
2018-11-11 06:13:08;397;1247;97;Kein Fehler erkannt;2.61;0;1.18;;;;;;;;
2018-11-11 07:13:15;431;1354;94;Kein Fehler erkannt;5.94;0;2.07;;;;;;;;
2018-11-11 08:01:07;432;1357;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
2018-11-11 08:05:37;432;1357;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
2018-11-11 09:05:46;434;1363;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
2018-11-11 10:05:54;427;1341;98;Kein Fehler erkannt;1.44;0;2.36;;;;;;;;
2018-11-11 11:06:02;429;1347;99;Kein Fehler erkannt;0.62;0;2.36;;;;;;;;
2018-11-11 12:06:10;422;1325;98;Kein Fehler erkannt;1.21;0;2.36;;;;;;;;
2018-11-11 13:06:19;421;1322;98;Kein Fehler erkannt;1.54;0;2.36;;;;;;;;
2018-11-11 14:06:27;418;1313;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
2018-11-11 15:06:35;410;1288;99;Kein Fehler erkannt;1.02;0;2.36;;;;;;;;
2018-11-11 16:06:44;413;1297;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
2018-11-11 17:06:51;413;1297;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
2018-11-11 18:07:00;405;1272;94;Kein Fehler erkannt;6.19;0;2.36;;;;;;;;
1970-01-01 00:01:57;401;1259;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
2018-11-11 20:07:33;397;1247;98;Kein Fehler erkannt;1.55;0;2.36;;;;;;;;
2018-11-11 21:07:41;399;1253;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
2018-11-11 22:07:50;399;1253;100;Kein Fehler erkannt;0.00;0;2.36;;;;;;;;
