Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-12-02 16:14:04;728;2287;94;Kein Fehler erkannt;6.11;180;5.90;;;;;;;;
2018-12-02 17:14:13;729;2290;93;Kein Fehler erkannt;6.42;180;5.90;;;;;;;;
2018-12-02 18:14:20;730;2293;99;Kein Fehler erkannt;0.44;180;6.20;;;;;;;;
2018-12-02 19:14:29;766;2406;98;Kein Fehler erkannt;1.56;180;7.97;0;113;157;28;Verstopft;;;
2018-12-02 20:14:39;767;2409;100;Kein Fehler erkannt;0.00;180;7.97;;;;;;;;
2018-12-02 21:14:48;816;2563;100;Kein Fehler erkannt;0.00;180;10.33;0;154;216;28;Verstopft;;;
2018-12-02 22:14:54;816;2563;100;Kein Fehler erkannt;0.00;180;10.33;;;;;;;;
2018-12-02 23:15:02;816;2563;100;Kein Fehler erkannt;0.00;180;10.33;;;;;;;;
2018-12-03 00:15:10;813;2554;100;Kein Fehler erkannt;0.00;180;10.62;;;;;;;;
2018-12-03 01:15:18;831;2610;98;Kein Fehler erkannt;1.57;180;11.21;;;;;;;;
2018-12-03 02:15:27;833;2616;95;Kein Fehler erkannt;5.21;180;11.21;;;;;;;;
2018-12-03 03:15:35;838;2632;98;Kein Fehler erkannt;1.34;180;11.21;;;;;;;;
2018-12-03 04:15:44;837;2629;98;Kein Fehler erkannt;1.21;180;11.51;;;;;;;;
2018-12-03 05:15:51;862;2708;100;Kein Fehler erkannt;0.00;180;11.21;;;;;;;;
2018-12-03 06:15:59;865;2717;100;Kein Fehler erkannt;0.00;180;9.74;;;;;;;;
2018-12-03 07:16:02;868;2726;99;Kein Fehler erkannt;1.02;180;8.85;;;;;;;;
2018-12-03 08:16:10;866;2720;100;Kein Fehler erkannt;0.00;180;9.15;;;;;;;;
2018-12-03 09:16:18;873;2742;100;Kein Fehler erkannt;0.00;180;9.15;;;;;;;;
2018-12-03 10:16:27;930;2921;93;Kein Fehler erkannt;6.86;180;10.03;;;;;;;;
2018-12-03 11:16:35;938;2946;100;Kein Fehler erkannt;0.00;180;9.74;;;;;;;;
2018-12-03 12:16:47;978;3072;98;Kein Fehler erkannt;1.56;180;11.21;;;;;;;;
2018-12-03 13:16:57;986;3097;98;Kein Fehler erkannt;1.47;180;11.21;;;;;;;;
2018-12-03 14:17:04;1068;3355;100;Kein Fehler erkannt;0.00;180;13.57;0;258;215;0;OK;;;
2018-12-03 15:17:13;1086;3411;95;Kein Fehler erkannt;5.21;180;14.16;;;;;;;;
2018-12-03 16:17:25;1097;3446;98;Kein Fehler erkannt;1.51;180;14.46;;;;;;;;
2018-12-03 17:17:33;1136;3568;100;Kein Fehler erkannt;0.00;180;16.23;0;122;156;21;Verstopft;;;
2018-12-03 18:17:41;1221;3835;98;Kein Fehler erkannt;1.81;180;18.00;0;267;157;0;OK;;;
2018-12-03 19:17:50;1330;4178;100;Kein Fehler erkannt;0.00;180;20.65;0;343;244;0;OK;;;
2018-12-03 20:17:58;1437;4514;100;Kein Fehler erkannt;0.00;180;22.72;0;336;186;0;OK;;;
