Log File;Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
180819_V10_1.csv;18.08.2018 14:50;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:51;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:52;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:53;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:54;436;1369;97;;2,98;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:55;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:55;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:56;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:57;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:58;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:59;436;1369;95;;4,36;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:00;436;1369;97;;2,46;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:00;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:01;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:02;437;1372;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:03;436;1369;95;;5,1;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:04;435;1366;93;;7,03;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:05;435;1366;93;;6,54;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:06;435;1366;92;;7,56;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:06;435;1366;93;;7,21;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:07;435;1366;93;;6,51;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:08;435;1366;93;;7;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:09;434;1363;92;;7,74;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:10;434;1363;92;;7,64;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:11;434;1363;92;;7,7;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:11;434;1363;92;;7,8;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:12;434;1363;92;;7,85;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:13;433;1360;93;;7,3;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:14;432;1357;99;;0,44;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:15;432;1357;95;;4,71;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:16;432;1357;95;;4,54;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:16;433;1360;92;;7,47;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:17;433;1360;92;;7,41;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:18;433;1360;93;;7,2;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:19;432;1357;95;;5,1;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:20;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:21;432;1357;97;;2,27;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:21;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:22;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:23;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:24;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:25;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:26;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:27;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:27;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:28;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:29;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:30;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:31;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:32;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:32;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:33;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:34;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:35;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:36;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:37;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:37;432;1357;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:38;430;1350;98;;1,87;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:39;430;1350;99;;0,94;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:40;430;1350;96;;3,94;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:41;430;1350;97;;2,76;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:42;430;1350;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:42;430;1350;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:43;430;1350;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:44;430;1350;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:45;430;1350;95;;4,27;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:46;430;1350;96;;3,43;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:47;430;1350;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:48;430;1350;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:48;430;1350;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:49;430;1350;98;;1,32;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:50;431;1354;94;;5,76;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:51;430;1350;95;;4,48;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:52;430;1350;96;;3,22;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:53;430;1350;98;;1,76;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:54;430;1350;97;;2,46;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:54;430;1350;95;;5,01;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:55;431;1354;94;;6,1;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:56;431;1354;94;;6,13;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:57;432;1357;94;;5,68;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:58;431;1354;94;;6,18;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:59;431;1354;94;;5,88;40;;;;;;;;
180819_V10_1.csv;18.08.2018 15:59;432;1357;94;;5,69;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:00;433;1360;95;;4,52;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:01;433;1360;95;;5,14;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:02;433;1360;98;;1,96;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:03;433;1360;99;;0,75;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:04;433;1360;95;;4,31;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:04;432;1357;94;;5,26;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:05;433;1360;98;;1,34;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:06;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:07;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:08;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:09;433;1360;95;;4,49;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:09;433;1360;96;;3,69;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:10;433;1360;99;;0,62;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:11;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:12;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:13;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:14;432;1357;95;;4,67;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:15;433;1360;98;;1,54;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:15;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:16;433;1360;99;;0,75;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:17;433;1360;99;;0,44;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:18;433;1360;98;;1,41;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:19;433;1360;98;;1,57;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:20;433;1360;99;;0,75;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:20;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:21;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:22;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:23;433;1360;98;;1,47;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:24;433;1360;98;;1,09;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:25;433;1360;99;;0,85;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:25;433;1360;99;;0,94;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:26;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:27;433;1360;98;;1,09;40;;;;;;;;
