Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-10-23 18:36:05;204;640;98;Kein Fehler erkannt;1.34;720;0.00;;;;;;;;
2018-10-23 19:36:13;204;640;98;Kein Fehler erkannt;1.15;720;0.00;;;;;;;;
2018-10-23 20:36:22;204;640;100;Kein Fehler erkannt;0.00;720;0.00;;;;;;;;
2018-10-23 21:36:29;198;622;98;Kein Fehler erkannt;1.57;720;0.00;;;;;;;;
2018-10-23 21:39:11;205;644;98;Kein Fehler erkannt;1.79;740;0.00;;;;;;;;
2018-10-23 22:36:38;204;640;98;Kein Fehler erkannt;1.09;740;0.00;;;;;;;;
2018-10-23 23:36:47;204;640;98;Kein Fehler erkannt;1.55;740;0.00;;;;;;;;
2018-10-24 00:36:54;204;640;100;Kein Fehler erkannt;0.00;740;0.00;;;;;;100;56;
2018-10-24 01:37:03;204;640;100;Kein Fehler erkannt;0.00;740;0.00;;;;;;;;
2018-10-24 02:37:11;204;640;100;Kein Fehler erkannt;0.00;740;0.00;;;;;;;;
2018-10-24 03:37:19;204;640;100;Kein Fehler erkannt;0.00;740;0.00;;;;;;;;
2018-10-24 04:37:28;200;628;100;Kein Fehler erkannt;0.00;740;0.00;;;;;;;;
2018-10-24 05:37:35;200;628;100;Kein Fehler erkannt;0.00;740;0.00;;;;;;;;
2018-10-24 06:37:44;200;628;100;Kein Fehler erkannt;0.00;740;0.00;;;;;;;;
2018-10-24 07:37:52;198;622;98;Kein Fehler erkannt;1.41;740;0.00;;;;;;;;
2018-10-24 07:40:34;205;644;98;Kein Fehler erkannt;1.49;760;0.00;;;;;;;;
2018-10-24 08:38:00;204;640;98;Kein Fehler erkannt;1.30;760;0.00;;;;;;;;
2018-10-24 09:38:09;204;640;98;Kein Fehler erkannt;1.09;760;0.00;;;;;;;;
2018-10-24 10:38:17;204;640;99;Kein Fehler erkannt;0.94;760;0.00;;;;;;;;
2018-10-24 11:38:25;204;640;99;Kein Fehler erkannt;0.75;760;0.00;;;;;;;;
2018-10-24 12:38:33;204;640;98;Kein Fehler erkannt;1.09;760;0.00;;;;;;;;
2018-10-24 13:38:42;204;640;99;Kein Fehler erkannt;1.02;760;0.00;;;;;;;;
2018-10-24 14:38:50;204;640;100;Kein Fehler erkannt;0.00;760;0.00;;;;;;;;
2018-10-24 15:38:58;204;640;100;Kein Fehler erkannt;0.00;760;0.00;;;;;;;;
2018-10-24 16:39:07;202;634;100;Kein Fehler erkannt;0.00;760;0.00;;;;;;;;
2018-10-24 17:39:14;197;618;100;Kein Fehler erkannt;0.00;760;0.00;;;;;;;;
2018-10-24 17:41:56;203;637;99;Kein Fehler erkannt;0.88;780;0.00;;;;;;;;
