Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-08-29 17:05:20;192;603;99;Kein Fehler erkannt;0.75;220;;;;;;;;;
2018-08-29 17:08:01;198;622;98;Kein Fehler erkannt;1.44;240;;;;;;;;;
2018-08-29 17:10:43;204;640;97;Kein Fehler erkannt;3.08;260;;;;;;;;;
2018-08-29 17:48:58;201;631;99;Kein Fehler erkannt;0.94;260;;;;;;;;;
2018-08-29 17:51:32;202;634;100;Kein Fehler erkannt;0.00;260;;;;;;;;;
2018-08-29 17:54:14;207;650;99;Kein Fehler erkannt;0.94;280;;;;;;;;;
2018-08-29 17:57:00;213;669;96;Kein Fehler erkannt;4.19;300;;;;;;;;;
2018-08-29 18:46:37;212;666;100;Kein Fehler erkannt;0.00;300;;;;;;;;;
2018-08-29 18:48:53;212;666;100;Kein Fehler erkannt;0.00;300;;;;;;;;;
2018-08-29 18:51:34;212;666;100;Kein Fehler erkannt;0.00;320;;;;;;;;;
2018-08-29 18:59:42;212;666;100;Kein Fehler erkannt;0.00;340;;;;;;;;;
2018-08-29 19:02:23;212;666;100;Kein Fehler erkannt;0.00;360;;;;;;;;;
2018-08-29 19:05:04;212;666;100;Kein Fehler erkannt;0.00;380;;;;;;;;;
2018-08-29 19:07:45;212;666;98;Kein Fehler erkannt;1.57;400;;;;;;;;;
2018-08-29 19:10:27;213;669;100;Kein Fehler erkannt;0.00;420;;;;;;;;;
2018-08-29 19:12:56;213;669;100;Kein Fehler erkannt;0.00;420;;;;;;;;;
2018-08-29 19:21:24;0;0;1;Kein Fehler erkannt;0.00;440;;;;;;;;;
2018-08-29 19:23:38;0;0;1;Kein Fehler erkannt;0.00;460;;;;;;;;;
2018-08-29 19:25:19;220;691;99;Kein Fehler erkannt;0.44;460;;;;;;;;;
2018-08-29 19:27:34;220;691;100;Kein Fehler erkannt;0.00;480;;;;;;;;;
2018-08-29 20:05:58;220;691;100;Kein Fehler erkannt;0.00;480;;;;;;;;;
2018-08-29 20:10:00;220;691;100;Kein Fehler erkannt;0.00;520;;;;;;;;;
2018-08-29 20:13:08;220;691;100;Kein Fehler erkannt;0.00;530;;;;;;;;;
2018-08-29 20:34:07;0;0;1;Kein Fehler erkannt;0.00;530;;;;;;;;;
2018-08-29 20:35:48;0;0;1;Kein Fehler erkannt;0.00;540;;;;;;;;;
2018-08-29 20:37:28;0;0;1;Kein Fehler erkannt;0.00;550;;;;;;;;;
2018-08-29 20:41:38;0;0;1;Kein Fehler erkannt;0.00;580;;;;;;;;;
2018-08-29 20:56:23;0;0;1;Kein Fehler erkannt;0.00;590;;;;;;;;;
2018-08-29 20:58:04;0;0;1;Kein Fehler erkannt;0.00;600;;;;;;;;;
2018-08-29 20:59:44;0;0;1;Kein Fehler erkannt;0.00;600;;;;;;;;;
2018-08-29 21:01:39;0;0;1;Kein Fehler erkannt;0.00;600;;;;;;;;;
2018-08-29 21:04:12;220;691;100;Kein Fehler erkannt;0.00;600;;;;;;;;;
2018-08-29 21:06:20;221;694;100;Kein Fehler erkannt;0.00;610;;;;;;;;;
2018-08-29 21:12:38;0;0;1;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-29 21:14:19;0;0;1;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-29 21:15:59;0;0;1;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-29 21:17:40;0;0;1;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-29 21:20:09;219;688;98;Kein Fehler erkannt;1.38;630;;;;;;;;;
2018-08-29 22:20:18;218;684;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-29 23:20:25;217;681;98;Kein Fehler erkannt;1.55;630;;;;;;;;;
2018-08-30 00:20:34;217;681;98;Kein Fehler erkannt;1.44;630;;;;;;;;;
2018-08-30 01:20:41;217;681;98;Kein Fehler erkannt;1.55;630;;;;;;;;;
2018-08-30 02:20:50;216;678;98;Kein Fehler erkannt;1.15;630;;;;;;;;;
2018-08-30 03:20:58;216;678;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-30 04:21:06;215;675;98;Kein Fehler erkannt;1.47;630;;;;;;;;;
2018-08-30 05:21:14;211;662;99;Kein Fehler erkannt;0.94;630;;;;;;;;;
2018-08-30 06:21:21;246;772;98;Kein Fehler erkannt;1.30;630;;;;;;;;;
2018-08-30 07:21:30;248;779;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-30 08:21:37;248;779;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-30 09:21:46;247;775;98;Kein Fehler erkannt;1.54;630;;;;;;;;;
2018-08-30 10:21:54;247;775;98;Kein Fehler erkannt;1.57;630;;;;;;;;;
2018-08-30 11:22:02;247;775;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-30 12:22:10;247;775;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-30 13:22:21;246;772;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-30 14:22:26;245;769;98;Kein Fehler erkannt;1.47;630;;;;;;;;;
2018-08-30 15:22:34;245;769;98;Kein Fehler erkannt;1.21;630;;;;;;;;;
2018-08-30 16:22:42;245;769;98;Kein Fehler erkannt;1.41;630;;;;;;;;;
2018-08-30 17:22:51;235;738;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-30 18:22:58;231;725;99;Kein Fehler erkannt;0.85;630;;;;;;;;;
