Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-10-22 06:06:59;203;637;94;Kein Fehler erkannt;5.86;660;0.00;;;;;;;;
2018-10-22 06:07:01;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:07:04;206;647;98;Kein Fehler erkannt;1.44;660;0.00;;;;;;;;
2018-10-22 06:07:06;206;647;99;Kein Fehler erkannt;0.94;660;0.00;;;;;;;;
2018-10-22 06:07:08;206;647;98;Kein Fehler erkannt;1.26;660;0.00;;;;;;;;
2018-10-22 06:07:11;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:07:13;205;644;95;Kein Fehler erkannt;4.22;660;0.00;;;;;;;;
2018-10-22 06:07:15;205;644;98;Kein Fehler erkannt;1.78;660;0.00;;;;;;;;
2018-10-22 06:07:18;205;644;98;Kein Fehler erkannt;1.21;660;0.00;;;;;;;;
2018-10-22 06:07:20;205;644;98;Kein Fehler erkannt;1.09;660;0.00;;;;;;;;
2018-10-22 06:07:22;205;644;98;Kein Fehler erkannt;1.38;660;0.00;;;;;;;;
2018-10-22 06:07:25;205;644;99;Kein Fehler erkannt;0.94;660;0.00;;;;;;;;
2018-10-22 06:07:27;205;644;99;Kein Fehler erkannt;0.44;660;0.00;;;;;;;;
2018-10-22 06:07:29;205;644;98;Kein Fehler erkannt;1.76;660;0.00;;;;;;;;
2018-10-22 06:07:32;206;647;98;Kein Fehler erkannt;1.34;660;0.00;;;;;;;;
2018-10-22 06:07:34;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:07:36;206;647;98;Kein Fehler erkannt;1.15;660;0.00;;;;;;;;
2018-10-22 06:07:38;206;647;98;Kein Fehler erkannt;1.38;660;0.00;;;;;;;;
2018-10-22 06:07:41;206;647;98;Kein Fehler erkannt;1.44;660;0.00;;;;;;;;
2018-10-22 06:07:43;206;647;98;Kein Fehler erkannt;1.47;660;0.00;;;;;;;;
2018-10-22 06:07:45;206;647;99;Kein Fehler erkannt;0.62;660;0.00;;;;;;;;
2018-10-22 06:07:48;206;647;98;Kein Fehler erkannt;1.57;660;0.00;;;;;;;;
2018-10-22 06:07:50;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:07:52;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:07:54;206;647;98;Kein Fehler erkannt;1.38;660;0.00;;;;;;;;
2018-10-22 06:07:57;205;644;99;Kein Fehler erkannt;0.85;660;0.00;;;;;;;;
2018-10-22 06:07:59;205;644;99;Kein Fehler erkannt;0.44;660;0.00;;;;;;;;
2018-10-22 06:08:02;205;644;99;Kein Fehler erkannt;0.85;660;0.00;;;;;;;;
2018-10-22 06:08:04;205;644;96;Kein Fehler erkannt;3.44;660;0.00;;;;;;;;
2018-10-22 06:08:06;205;644;99;Kein Fehler erkannt;1.02;660;0.00;;;;;;;;
2018-10-22 06:08:09;205;644;98;Kein Fehler erkannt;1.41;660;0.00;;;;;;;;
2018-10-22 06:08:11;205;644;99;Kein Fehler erkannt;1.02;660;0.00;;;;;;;;
2018-10-22 06:08:13;206;647;99;Kein Fehler erkannt;0.62;660;0.00;;;;;;;;
2018-10-22 06:08:15;205;644;98;Kein Fehler erkannt;1.54;660;0.00;;;;;;;;
2018-10-22 06:08:18;205;644;94;Kein Fehler erkannt;5.63;660;0.00;;;;;;;;
2018-10-22 06:08:20;205;644;96;Kein Fehler erkannt;3.32;660;0.00;;;;;;;;
2018-10-22 06:08:22;205;644;98;Kein Fehler erkannt;1.41;660;0.00;;;;;;;;
2018-10-22 06:08:25;205;644;98;Kein Fehler erkannt;1.21;660;0.00;;;;;;;;
2018-10-22 06:08:27;205;644;97;Kein Fehler erkannt;3.07;660;0.00;;;;;;;;
2018-10-22 06:08:30;205;644;98;Kein Fehler erkannt;1.21;660;0.00;;;;;;;;
2018-10-22 06:08:32;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:08:34;206;647;98;Kein Fehler erkannt;1.21;660;0.00;;;;;;;;
2018-10-22 06:08:37;206;647;98;Kein Fehler erkannt;1.15;660;0.00;;;;;;;;
2018-10-22 06:08:39;206;647;98;Kein Fehler erkannt;1.30;660;0.00;;;;;;;;
2018-10-22 06:08:41;206;647;98;Kein Fehler erkannt;1.56;660;0.00;;;;;;;;
2018-10-22 06:08:44;206;647;98;Kein Fehler erkannt;1.47;660;0.00;;;;;;;;
2018-10-22 06:08:46;206;647;99;Kein Fehler erkannt;0.62;660;0.00;;;;;;;;
2018-10-22 06:08:48;206;647;99;Kein Fehler erkannt;0.75;660;0.00;;;;;;;;
2018-10-22 06:08:51;206;647;99;Kein Fehler erkannt;1.02;660;0.00;;;;;;;;
2018-10-22 06:08:53;206;647;99;Kein Fehler erkannt;0.85;660;0.00;;;;;;;;
2018-10-22 06:08:55;205;644;98;Kein Fehler erkannt;1.51;660;0.00;;;;;;;;
2018-10-22 06:08:58;205;644;98;Kein Fehler erkannt;1.51;660;0.00;;;;;;;;
2018-10-22 06:09:00;204;640;96;Kein Fehler erkannt;3.22;660;0.00;;;;;;;;
2018-10-22 06:09:02;208;653;95;Kein Fehler erkannt;5.04;660;0.00;;;;;;;;
2018-10-22 06:09:05;207;650;92;Kein Fehler erkannt;8.27;660;0.00;;;;;;;;
2018-10-22 06:09:07;205;644;95;Kein Fehler erkannt;4.56;660;0.00;;;;;;;;
2018-10-22 06:09:09;205;644;98;Kein Fehler erkannt;1.58;660;0.00;;;;;;;;
2018-10-22 06:09:12;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:09:14;205;644;95;Kein Fehler erkannt;4.35;660;0.00;;;;;;;;
2018-10-22 06:09:16;205;644;99;Kein Fehler erkannt;0.44;660;0.00;;;;;;;;
2018-10-22 06:09:19;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:09:21;205;644;97;Kein Fehler erkannt;3.09;660;0.00;;;;;;;;
2018-10-22 06:09:23;205;644;99;Kein Fehler erkannt;0.62;660;0.00;;;;;;;;
2018-10-22 06:09:26;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:09:28;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:09:30;206;647;98;Kein Fehler erkannt;1.21;660;0.00;;;;;;;;
2018-10-22 06:09:33;206;647;98;Kein Fehler erkannt;1.15;660;0.00;;;;;;;;
2018-10-22 06:09:35;206;647;99;Kein Fehler erkannt;1.02;660;0.00;;;;;;;;
2018-10-22 06:09:37;206;647;98;Kein Fehler erkannt;1.44;660;0.00;;;;;;;;
2018-10-22 06:09:40;206;647;98;Kein Fehler erkannt;1.26;660;0.00;;;;;;;;
2018-10-22 06:09:42;206;647;98;Kein Fehler erkannt;1.15;660;0.00;;;;;;;;
2018-10-22 06:09:44;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:09:47;206;647;99;Kein Fehler erkannt;0.85;660;0.00;;;;;;;;
2018-10-22 06:09:49;206;647;99;Kein Fehler erkannt;0.75;660;0.00;;;;;;;;
2018-10-22 06:09:51;205;644;98;Kein Fehler erkannt;1.26;660;0.00;;;;;;;;
2018-10-22 06:09:54;205;644;99;Kein Fehler erkannt;0.85;660;0.00;;;;;;;;
2018-10-22 06:09:56;208;653;95;Kein Fehler erkannt;4.96;660;0.00;;;;;;;;
2018-10-22 06:09:58;207;650;94;Kein Fehler erkannt;5.86;660;0.00;;;;;;;;
2018-10-22 06:10:01;208;653;94;Kein Fehler erkannt;5.64;660;0.00;;;;;;;;
2018-10-22 06:10:03;205;644;97;Kein Fehler erkannt;2.66;660;0.00;;;;;;;;
2018-10-22 06:10:05;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:08;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:10;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:12;206;647;99;Kein Fehler erkannt;0.62;660;0.00;;;;;;;;
2018-10-22 06:10:15;206;647;99;Kein Fehler erkannt;0.62;660;0.00;;;;;;;;
2018-10-22 06:10:17;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:19;206;647;99;Kein Fehler erkannt;0.44;660;0.00;;;;;;;;
2018-10-22 06:10:22;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:24;206;647;98;Kein Fehler erkannt;1.26;660;0.00;;;;;;;;
2018-10-22 06:10:26;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:28;206;647;99;Kein Fehler erkannt;0.75;660;0.00;;;;;;;;
2018-10-22 06:10:31;207;650;94;Kein Fehler erkannt;5.45;660;0.00;;;;;;;;
2018-10-22 06:10:33;206;647;98;Kein Fehler erkannt;1.52;660;0.00;;;;;;;;
2018-10-22 06:10:35;206;647;98;Kein Fehler erkannt;1.44;660;0.00;;;;;;;;
2018-10-22 06:10:38;206;647;98;Kein Fehler erkannt;1.30;660;0.00;;;;;;;;
2018-10-22 06:10:40;206;647;99;Kein Fehler erkannt;1.02;660;0.00;;;;;;;;
2018-10-22 06:10:42;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:45;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:47;206;647;99;Kein Fehler erkannt;1.02;660;0.00;;;;;;;;
2018-10-22 06:10:49;206;647;93;Kein Fehler erkannt;6.34;660;0.00;;;;;;;;
2018-10-22 06:10:52;205;644;98;Kein Fehler erkannt;1.38;660;0.00;;;;;;;;
2018-10-22 06:10:54;206;647;93;Kein Fehler erkannt;6.54;660;0.00;;;;;;;;
2018-10-22 06:10:57;206;647;100;Kein Fehler erkannt;0.00;660;0.00;;;;;;;;
2018-10-22 06:10:59;206;647;98;Kein Fehler erkannt;1.21;660;0.00;;;;;;;;
2018-10-22 06:11:01;205;644;99;Kein Fehler erkannt;0.85;660;0.00;;;;;;;;
