Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-08-25 19:06:43;261;819;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-25 20:07:02;259;813;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-25 21:07:13;257;807;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-25 22:07:22;256;804;98;Kein Fehler erkannt;1.57;0;;;;;;;;;
2018-08-25 23:07:33;255;801;98;Kein Fehler erkannt;1.15;0;;;;;;;;;
2018-08-26 00:07:43;255;801;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 01:07:53;255;801;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 02:08:04;254;797;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 03:08:14;253;794;98;Kein Fehler erkannt;1.49;0;;;;;;;;;
2018-08-26 04:08:24;253;794;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 05:08:24;250;785;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 06:08:45;245;769;99;Kein Fehler erkannt;0.75;0;;;;;;;;;
2018-08-26 07:08:55;244;766;99;Kein Fehler erkannt;0.44;0;;;;;;;;;
2018-08-26 08:09:05;244;766;99;Kein Fehler erkannt;0.94;0;;;;;;;;;
2018-08-26 09:09:16;244;766;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 10:09:25;244;766;99;Kein Fehler erkannt;0.85;0;;;;;;;;;
2018-08-26 11:09:36;244;766;98;Kein Fehler erkannt;1.21;0;;;;;;;;;
2018-08-26 12:09:47;239;750;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 13:09:56;235;738;98;Kein Fehler erkannt;1.57;0;;;;;;;;;
2018-08-26 14:10:07;225;706;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 15:10:17;224;703;98;Kein Fehler erkannt;1.51;0;;;;;;;;;
2018-08-26 16:10:27;224;703;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 17:10:38;211;662;99;Kein Fehler erkannt;1.02;0;;;;;;;;;
2018-08-26 18:10:48;209;656;98;Kein Fehler erkannt;1.26;0;;;;;;;;;
2018-08-26 19:10:58;207;650;98;Kein Fehler erkannt;1.52;0;;;;;;;;;
2018-08-26 20:11:08;207;650;99;Kein Fehler erkannt;1.02;0;;;;;;;;;
2018-08-26 21:11:19;204;640;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 22:11:28;204;640;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-26 23:11:39;204;640;100;Kein Fehler erkannt;0.00;0;;;;;;;;;
2018-08-27 00:11:50;203;637;98;Kein Fehler erkannt;1.44;0;;;;;;;-164;-164;
2018-08-27 01:11:59;204;640;94;Kein Fehler erkannt;5.68;0;;;;;;;;;
2018-08-27 02:12:10;203;637;94;Kein Fehler erkannt;6.19;0;;;;;;;;;
2018-08-27 03:12:20;201;631;95;Kein Fehler erkannt;4.99;0;;;;;;;;;
2018-08-27 04:12:31;199;625;98;Kein Fehler erkannt;1.34;0;;;;;;;;;
2018-08-27 04:15:12;205;644;98;Kein Fehler erkannt;1.54;20;;;;;;;;;
2018-08-27 04:44:41;203;637;98;Kein Fehler erkannt;1.56;20;;;;;;;;;
