Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-25 06:42:56;213;669;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-25 07:43:04;211;662;99;Kein Fehler erkannt;0.85;100;0.00;;;;;;;;
2018-11-25 08:43:12;209;656;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-25 09:43:20;209;656;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-25 10:43:29;209;656;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-25 11:43:37;207;650;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-25 12:43:45;204;640;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-25 13:43:53;202;634;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-25 14:44:01;201;631;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-25 15:44:10;199;625;98;Kein Fehler erkannt;1.15;100;0.00;;;;;;;;
2018-11-25 15:46:51;205;644;94;Kein Fehler erkannt;6.01;120;0.00;;;;;;;;
2018-11-25 16:44:18;206;647;100;Kein Fehler erkannt;0.00;120;0.00;;;;;;;;
2018-11-25 17:44:26;205;644;98;Kein Fehler erkannt;1.09;120;0.00;;;;;;;;
2018-11-25 18:44:34;200;628;98;Kein Fehler erkannt;1.52;120;0.00;;;;;;;;
2018-11-25 19:44:42;200;628;99;Kein Fehler erkannt;0.94;120;0.00;;;;;;;;
2018-11-25 20:44:50;198;622;98;Kein Fehler erkannt;1.26;120;0.00;;;;;;;;
2018-11-25 20:47:32;205;644;97;Kein Fehler erkannt;3.02;140;0.00;;;;;;;;
2018-11-25 21:44:59;204;640;99;Kein Fehler erkannt;0.62;140;0.00;;;;;;;;
2018-11-25 22:45:07;203;637;99;Kein Fehler erkannt;0.75;140;0.00;;;;;;;;
2018-11-25 23:45:15;202;634;100;Kein Fehler erkannt;0.00;140;0.00;;;;;;;;
2018-11-26 00:45:23;202;634;100;Kein Fehler erkannt;0.00;140;0.00;;;;;;87;85;
2018-11-26 01:45:31;202;634;100;Kein Fehler erkannt;0.00;140;0.00;;;;;;;;
2018-11-26 02:45:40;201;631;98;Kein Fehler erkannt;1.15;140;0.00;;;;;;;;
2018-11-26 03:45:48;202;634;100;Kein Fehler erkannt;0.00;140;0.00;;;;;;;;
2018-11-26 04:45:56;201;631;98;Kein Fehler erkannt;1.47;140;0.00;;;;;;;;
2018-11-26 05:46:04;200;628;100;Kein Fehler erkannt;0.00;140;0.00;;;;;;;;
2018-11-26 06:46:12;198;622;100;Kein Fehler erkannt;0.00;140;0.00;;;;;;;;
2018-11-26 06:48:55;204;640;97;Kein Fehler erkannt;2.40;160;0.00;;;;;;;;
2018-11-26 07:46:21;204;640;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-26 08:46:28;204;640;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-26 09:46:37;204;640;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-26 10:46:46;204;640;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-26 11:46:53;204;640;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-26 12:47:02;222;697;100;Kein Fehler erkannt;0.00;160;0.30;;;;;;;;
2018-11-26 13:47:09;233;731;100;Kein Fehler erkannt;0.00;160;0.59;;;;;;;;
2018-11-26 14:47:18;268;841;98;Kein Fehler erkannt;1.57;160;1.77;40;110;98;0;OK;;;
2018-11-26 15:47:26;292;917;98;Kein Fehler erkannt;1.57;160;2.36;;;;;;;;
2018-11-26 16:47:34;314;986;99;Kein Fehler erkannt;0.75;160;3.25;;;;;;;;
2018-11-26 17:47:45;339;1065;99;Kein Fehler erkannt;0.62;160;4.13;;;;;;;;
2018-11-26 18:47:51;348;1093;100;Kein Fehler erkannt;0.00;160;4.43;;;;;;;;
2018-11-26 19:47:59;359;1127;98;Kein Fehler erkannt;1.21;160;4.72;;;;;;;;
2018-11-26 20:48:07;365;1146;100;Kein Fehler erkannt;0.00;160;5.01;;;;;;;;
2018-11-26 21:48:15;369;1159;98;Kein Fehler erkannt;1.38;160;5.31;;;;;;;;
2018-11-26 22:48:23;375;1178;100;Kein Fehler erkannt;0.00;160;5.61;;;;;;;;
2018-11-26 23:48:32;384;1206;100;Kein Fehler erkannt;0.00;160;5.90;;;;;;;;
2018-11-27 00:48:40;388;1218;100;Kein Fehler erkannt;0.00;160;5.90;;;;;;;;
2018-11-27 01:48:48;388;1218;100;Kein Fehler erkannt;0.00;160;5.90;;;;;;;;
2018-11-27 02:48:57;390;1225;98;Kein Fehler erkannt;1.15;160;5.90;;;;;;;;
2018-11-27 03:49:04;393;1234;100;Kein Fehler erkannt;0.00;160;6.20;;;;;;;;
2018-11-27 04:49:13;393;1234;100;Kein Fehler erkannt;0.00;160;6.20;;;;;;;;
2018-11-27 05:49:21;391;1228;100;Kein Fehler erkannt;0.00;160;6.20;;;;;;;;
2018-11-27 06:49:29;388;1218;100;Kein Fehler erkannt;0.00;160;6.20;;;;;;;;
2018-11-27 07:49:37;384;1206;100;Kein Fehler erkannt;0.00;160;6.20;;;;;;;;
2018-11-27 08:49:45;383;1203;99;Kein Fehler erkannt;0.94;160;6.20;;;;;;;;
2018-11-27 09:49:54;383;1203;99;Kein Fehler erkannt;0.62;160;6.20;;;;;;;;
2018-11-27 10:50:02;382;1200;100;Kein Fehler erkannt;0.00;160;6.20;;;;;;;;
2018-11-27 11:50:10;382;1200;100;Kein Fehler erkannt;0.00;160;6.20;;;;;;;;
2018-11-27 12:50:18;381;1196;99;Kein Fehler erkannt;0.85;160;5.90;;;;;;;;
2018-11-27 13:50:26;380;1193;98;Kein Fehler erkannt;1.38;160;5.61;;;;;;;;
2018-11-27 14:50:35;380;1193;98;Kein Fehler erkannt;1.57;160;4.43;;;;;;;;
2018-11-27 15:50:43;380;1193;98;Kein Fehler erkannt;1.21;160;3.54;;;;;;;;
2018-11-27 16:50:51;380;1193;100;Kein Fehler erkannt;0.00;160;2.95;;;;;;;;
2018-11-27 17:50:59;377;1184;100;Kein Fehler erkannt;0.00;160;2.07;;;;;;;;
2018-11-27 18:51:08;374;1174;98;Kein Fehler erkannt;1.34;160;1.77;;;;;;;;
2018-11-27 19:51:16;373;1171;100;Kein Fehler erkannt;0.00;160;1.48;;;;;;;;
2018-11-27 20:51:24;372;1168;98;Kein Fehler erkannt;1.41;160;1.48;;;;;;;;
2018-11-27 21:51:32;371;1165;100;Kein Fehler erkannt;0.00;160;0.89;;;;;;;;
2018-11-27 22:51:40;370;1162;98;Kein Fehler erkannt;1.30;160;0.59;;;;;;;;
2018-11-27 23:51:49;369;1159;100;Kein Fehler erkannt;0.00;160;0.30;;;;;;;;
2018-11-28 00:51:57;369;1159;100;Kein Fehler erkannt;0.00;160;nan;;;;;;;;
2018-11-28 01:52:05;369;1159;100;Kein Fehler erkannt;0.00;160;0.30;;;;;;;;
2018-11-28 02:52:13;367;1152;98;Kein Fehler erkannt;1.21;160;0.00;;;;;;;;
2018-11-28 03:52:21;367;1152;98;Kein Fehler erkannt;1.54;160;0.00;;;;;;;;
2018-11-28 04:52:30;367;1152;98;Kein Fehler erkannt;1.34;160;0.00;;;;;;;;
2018-11-28 05:52:38;366;1149;99;Kein Fehler erkannt;0.44;160;0.00;;;;;;;;
2018-11-28 06:52:46;366;1149;99;Kein Fehler erkannt;0.94;160;0.00;;;;;;;;
