Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-08-27 05:44:51;201;631;100;Kein Fehler erkannt;0.00;20;;;;;;;;;
2018-08-27 06:45:02;198;622;100;Kein Fehler erkannt;0.00;20;;;;;;;;;
2018-08-27 06:47:43;204;640;100;Kein Fehler erkannt;0.00;40;;;;;;;;;
2018-08-27 06:58:23;203;637;98;Kein Fehler erkannt;1.57;40;;;;;;;;;
2018-08-27 07:58:32;201;631;98;Kein Fehler erkannt;1.15;40;;;;;;;;;
2018-08-27 08:58:33;200;628;99;Kein Fehler erkannt;1.02;40;;;;;;;;;
2018-08-27 09:58:53;199;625;98;Kein Fehler erkannt;1.57;40;;;;;;;;;
2018-08-27 10:01:34;205;644;98;Kein Fehler erkannt;1.41;60;;;;;;;;;
2018-08-27 10:17:58;204;640;98;Kein Fehler erkannt;1.49;40;;;;;;;;;
2018-08-27 10:25:47;211;662;100;Kein Fehler erkannt;0.00;40;;;;;;;;;
2018-08-27 10:29:25;218;684;100;Kein Fehler erkannt;0.00;40;;;;;;;;;
2018-08-27 10:33:22;224;703;98;Kein Fehler erkannt;1.21;60;;;;;;;;;
2018-08-27 11:33:31;222;697;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-27 12:33:42;222;697;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-27 13:33:53;220;691;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-27 14:34:02;218;684;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-27 15:34:13;216;678;98;Kein Fehler erkannt;1.56;60;;;;;;;;;
2018-08-27 16:34:23;216;678;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-27 17:34:33;205;644;98;Kein Fehler erkannt;1.41;60;;;;;;;;;
2018-08-27 18:34:34;204;640;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-27 19:34:36;204;640;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-27 20:35:04;201;631;96;Kein Fehler erkannt;4.12;60;;;;;;;;;
2018-08-27 21:35:14;200;628;98;Kein Fehler erkannt;1.52;60;;;;;;;;;
2018-08-27 22:35:25;200;628;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-27 23:35:35;200;628;96;Kein Fehler erkannt;4.08;60;;;;;;;;;
2018-08-28 00:35:45;200;628;95;Kein Fehler erkannt;4.39;60;;;;;;;;;
2018-08-28 01:35:56;198;622;100;Kein Fehler erkannt;0.00;60;;;;;;;;;
2018-08-28 01:38:37;206;647;93;Kein Fehler erkannt;7.16;80;;;;;;;;;
2018-08-28 02:36:05;204;640;100;Kein Fehler erkannt;0.00;80;;;;;;;;;
2018-08-28 03:36:16;203;637;98;Kein Fehler erkannt;1.38;80;;;;;;;;;
2018-08-28 04:36:26;199;625;98;Kein Fehler erkannt;1.55;80;;;;;;;;;
2018-08-28 04:39:08;205;644;99;Kein Fehler erkannt;0.85;100;;;;;;;;;
2018-08-28 16:27:24;201;631;99;Kein Fehler erkannt;0.44;100;;;;;;;;;
2018-08-28 17:27:25;191;600;100;Kein Fehler erkannt;0.00;100;;;;;;;;;
2018-08-28 17:30:06;197;618;98;Kein Fehler erkannt;1.51;120;;;;;;;;;
2018-08-28 17:32:56;200;628;96;Kein Fehler erkannt;3.54;140;;;;;;;;;
2018-08-28 19:18:18;200;628;100;Kein Fehler erkannt;0.00;140;;;;;;;;;
