Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-04 14:03:43;513;1611;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 15:03:51;513;1611;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 16:03:59;507;1592;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 17:04:08;507;1592;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 18:04:16;508;1595;98;Kein Fehler erkannt;1.54;20;0.00;;;;;;;;
2018-11-04 19:04:24;508;1595;98;Kein Fehler erkannt;1.57;20;0.00;;;;;;;;
2018-11-04 20:04:32;504;1583;94;Kein Fehler erkannt;5.90;20;0.00;;;;;;;;
2018-11-04 21:04:41;503;1580;98;Kein Fehler erkannt;1.09;20;0.00;;;;;;;;
2018-11-04 22:04:49;501;1573;98;Kein Fehler erkannt;1.41;20;0.00;;;;;;;;
2018-11-04 23:04:57;501;1573;98;Kein Fehler erkannt;1.26;20;0.00;;;;;;;;
2018-11-05 00:05:06;501;1573;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;66;223;
2018-11-05 01:05:13;503;1580;98;Kein Fehler erkannt;1.21;20;0.00;;;;;;;;
2018-11-05 02:05:22;503;1580;98;Kein Fehler erkannt;1.54;20;0.00;;;;;;;;
2018-11-05 03:05:30;503;1580;98;Kein Fehler erkannt;1.41;20;0.00;;;;;;;;
2018-11-05 04:05:38;498;1564;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-05 05:05:46;500;1570;98;Kein Fehler erkannt;1.52;20;0.00;;;;;;;;
2018-11-05 06:05:55;500;1570;98;Kein Fehler erkannt;1.54;20;0.00;;;;;;;;
2018-11-05 07:06:03;494;1551;98;Kein Fehler erkannt;1.38;20;0.00;;;;;;;;
2018-11-05 08:06:11;494;1551;99;Kein Fehler erkannt;0.75;20;0.00;;;;;;;;
2018-11-05 09:06:20;494;1551;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-05 10:06:27;494;1551;99;Kein Fehler erkannt;0.44;20;0.00;;;;;;;;
2018-11-05 11:06:36;494;1551;99;Kein Fehler erkannt;0.44;20;0.00;;;;;;;;
2018-11-05 12:06:45;494;1551;98;Kein Fehler erkannt;1.15;20;0.00;;;;;;;;
2018-11-05 13:06:52;494;1551;98;Kein Fehler erkannt;1.38;20;0.00;;;;;;;;
2018-11-05 14:07:01;494;1551;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-05 15:07:09;494;1551;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-05 16:07:17;494;1551;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-05 17:07:18;496;1558;98;Kein Fehler erkannt;1.51;20;nan;;;;;;;;
2018-11-05 18:07:18;496;1558;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
