Log File;Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
181111_V310_1.csv;09.11.2018 23:57;402;1262;99;Kein Fehler erkannt;0,85;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 00:57;402;1262;98;Kein Fehler erkannt;1,09;0;0,3;;;;;;88;88
181111_V310_1.csv;10.11.2018 01:57;401;1259;96;Kein Fehler erkannt;3,32;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 02:57;403;1266;98;Kein Fehler erkannt;1,34;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 03:57;402;1262;95;Kein Fehler erkannt;4,89;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 04:57;398;1250;100;Kein Fehler erkannt;0;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 05:57;396;1244;98;Kein Fehler erkannt;1,41;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 06:58;395;1240;100;Kein Fehler erkannt;0;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 07:58;393;1234;94;Kein Fehler erkannt;5,89;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 08:58;393;1234;94;Kein Fehler erkannt;5,8;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 09:58;388;1218;100;Kein Fehler erkannt;0;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 10:58;388;1218;100;Kein Fehler erkannt;0;0;0,3;;;;;;;
181111_V310_1.csv;10.11.2018 11:58;385;1209;98;Kein Fehler erkannt;1,09;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 12:58;384;1206;98;Kein Fehler erkannt;1,21;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 13:59;384;1206;95;Kein Fehler erkannt;4,25;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 14:59;385;1209;94;Kein Fehler erkannt;6,09;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 15:59;380;1193;98;Kein Fehler erkannt;1,54;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 16:24;380;1193;98;Kein Fehler erkannt;1,44;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 17:11;380;1193;98;Kein Fehler erkannt;1,55;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 18:11;380;1193;98;Kein Fehler erkannt;1,57;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 19:11;378;1187;93;Kein Fehler erkannt;6,91;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 20:11;377;1184;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 21:11;375;1178;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 22:12;374;1174;94;Kein Fehler erkannt;6,26;0;0;;;;;;;
181111_V310_1.csv;10.11.2018 23:12;374;1174;94;Kein Fehler erkannt;6,26;0;0;;;;;;;
181111_V310_1.csv;11.11.2018 00:12;376;1181;96;Kein Fehler erkannt;3,41;0;0;;;;;;;
181111_V310_1.csv;11.11.2018 01:12;391;1228;100;Kein Fehler erkannt;0;0;0,59;;;;;;;
181111_V310_1.csv;11.11.2018 02:12;395;1240;100;Kein Fehler erkannt;0;0;0,59;;;;;;;
181111_V310_1.csv;11.11.2018 03:12;395;1240;99;Kein Fehler erkannt;0,94;0;0,89;;;;;;;
181111_V310_1.csv;11.11.2018 04:12;392;1231;98;Kein Fehler erkannt;1,85;0;0,89;;;;;;;
181122_V310_2.csv;11.11.2018 06:13;397;1247;97;Kein Fehler erkannt;2,61;0;1,18;;;;;;;
181122_V310_2.csv;11.11.2018 07:13;431;1354;94;Kein Fehler erkannt;5,94;0;2,07;;;;;;;
181122_V310_2.csv;11.11.2018 08:01;432;1357;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 08:05;432;1357;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 09:05;434;1363;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 10:05;427;1341;98;Kein Fehler erkannt;1,44;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 11:06;429;1347;99;Kein Fehler erkannt;0,62;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 12:06;422;1325;98;Kein Fehler erkannt;1,21;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 13:06;421;1322;98;Kein Fehler erkannt;1,54;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 14:06;418;1313;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 15:06;410;1288;99;Kein Fehler erkannt;1,02;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 16:06;413;1297;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 17:06;413;1297;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 18:07;405;1272;94;Kein Fehler erkannt;6,19;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 20:07;397;1247;98;Kein Fehler erkannt;1,55;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 21:07;399;1253;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 22:07;399;1253;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;11.11.2018 23:07;394;1237;97;Kein Fehler erkannt;2,71;0;2,36;;;;;;;
181122_V310_2.csv;12.11.2018 00:08;393;1234;100;Kein Fehler erkannt;0;0;2,07;;;;;;;
181122_V310_2.csv;12.11.2018 01:08;393;1234;100;Kein Fehler erkannt;0;0;1,77;;;;;;;
181122_V310_2.csv;12.11.2018 02:08;393;1234;100;Kein Fehler erkannt;0;0;1,48;;;;;;;
181122_V310_2.csv;12.11.2018 03:08;393;1234;100;Kein Fehler erkannt;0;0;1,48;;;;;;;
