Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-05 19:07:19;490;1539;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-05 20:07:20;490;1539;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-05 21:07:20;488;1533;97;Kein Fehler erkannt;2.51;20;nan;;;;;;;;
2018-11-05 22:07:21;488;1533;98;Kein Fehler erkannt;1.52;20;nan;;;;;;;;
2018-11-05 23:07:21;488;1533;98;Kein Fehler erkannt;1.57;20;nan;;;;;;;;
2018-11-06 00:07:22;486;1526;99;Kein Fehler erkannt;0.44;20;nan;;;;;;;;
2018-11-06 01:07:23;486;1526;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-06 02:07:23;485;1523;99;Kein Fehler erkannt;0.44;20;nan;;;;;;;;
2018-11-06 03:07:24;486;1526;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-06 04:07:25;486;1526;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-06 05:07:25;485;1523;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-06 06:07:26;480;1507;98;Kein Fehler erkannt;1.21;20;nan;;;;;;;;
2018-11-06 07:07:27;483;1517;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-06 08:07:27;475;1492;98;Kein Fehler erkannt;1.34;20;nan;;;;;;;;
2018-11-06 09:07:28;476;1495;94;Kein Fehler erkannt;5.66;20;nan;;;;;;;;
2018-11-06 10:07:29;473;1485;98;Kein Fehler erkannt;1.54;20;nan;;;;;;;;
2018-11-06 11:07:29;472;1482;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-06 12:07:30;471;1479;98;Kein Fehler erkannt;1.54;20;nan;;;;;;;;
2018-11-06 13:07:31;471;1479;98;Kein Fehler erkannt;1.57;20;nan;;;;;;;;
2018-11-06 14:07:31;474;1489;95;Kein Fehler erkannt;5.19;20;nan;;;;;;;;
2018-11-06 15:07:32;474;1489;95;Kein Fehler erkannt;5.00;20;nan;;;;;;;;
2018-11-06 16:07:32;474;1489;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-06 17:07:33;474;1489;100;Kein Fehler erkannt;0.00;20;nan;;;;;;;;
2018-11-06 17:37:28;474;1489;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-06 18:37:36;467;1467;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-06 19:37:45;469;1473;98;Kein Fehler erkannt;1.57;20;0.00;;;;;;;;
2018-11-06 20:37:53;462;1451;98;Kein Fehler erkannt;1.15;20;0.00;;;;;;;;
2018-11-06 21:38:01;465;1460;98;Kein Fehler erkannt;1.30;20;0.00;;;;;;;;
2018-11-06 22:38:10;457;1435;99;Kein Fehler erkannt;0.75;20;0.00;;;;;;;;
2018-11-06 23:38:17;457;1435;99;Kein Fehler erkannt;0.62;20;0.00;;;;;;;;
2018-11-07 00:38:26;457;1435;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 01:38:35;457;1435;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 02:38:42;461;1448;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 03:38:51;461;1448;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 04:38:58;461;1448;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 05:39:07;452;1420;95;Kein Fehler erkannt;4.92;20;0.00;;;;;;;;
2018-11-07 06:39:16;450;1413;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 07:39:23;448;1407;98;Kein Fehler erkannt;1.26;20;0.00;;;;;;;;
2018-11-07 08:39:32;448;1407;98;Kein Fehler erkannt;1.30;20;0.00;;;;;;;;
2018-11-07 09:39:40;448;1407;99;Kein Fehler erkannt;0.75;20;0.00;;;;;;;;
2018-11-07 10:39:48;448;1407;98;Kein Fehler erkannt;1.47;20;0.00;;;;;;;;
2018-11-07 11:39:57;448;1407;98;Kein Fehler erkannt;1.52;20;0.00;;;;;;;;
2018-11-07 12:40:05;448;1407;98;Kein Fehler erkannt;1.09;20;0.00;;;;;;;;
2018-11-07 13:40:13;448;1407;98;Kein Fehler erkannt;1.44;20;0.00;;;;;;;;
2018-11-07 14:40:21;449;1410;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 15:40:30;449;1410;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 16:40:38;451;1416;97;Kein Fehler erkannt;2.76;20;0.00;;;;;;;;
2018-11-07 17:40:46;445;1398;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 18:40:55;441;1385;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
