Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-10-22 15:32:23;207;650;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-22 16:32:31;207;650;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-22 17:32:39;206;647;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-22 18:32:46;204;640;99;Kein Fehler erkannt;0.94;680;0.00;;;;;;;;
2018-10-22 19:32:56;204;640;99;Kein Fehler erkannt;0.85;680;0.00;;;;;;;;
2018-10-22 20:33:04;203;637;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-22 21:33:12;202;634;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-22 22:33:21;200;628;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-22 23:33:28;200;628;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-23 00:33:37;200;628;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;52;52;
2018-10-23 01:33:46;200;628;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-23 02:33:53;200;628;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-23 03:34:02;200;628;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-23 04:34:09;199;625;100;Kein Fehler erkannt;0.00;680;0.00;;;;;;;;
2018-10-23 04:36:51;205;644;98;Kein Fehler erkannt;1.89;700;0.00;;;;;;;;
2018-10-23 05:34:18;203;637;100;Kein Fehler erkannt;0.00;700;0.00;;;;;;;;
2018-10-23 06:34:27;202;634;98;Kein Fehler erkannt;1.47;700;0.00;;;;;;;;
2018-10-23 07:34:27;202;634;98;Kein Fehler erkannt;1.49;700;0.00;;;;;;;;
2018-10-23 08:34:43;202;634;98;Kein Fehler erkannt;1.30;700;0.00;;;;;;;;
2018-10-23 09:34:51;202;634;98;Kein Fehler erkannt;1.57;700;0.00;;;;;;;;
2018-10-23 10:34:59;203;637;100;Kein Fehler erkannt;0.00;700;0.00;;;;;;;;
2018-10-23 11:35:07;203;637;100;Kein Fehler erkannt;0.00;700;0.00;;;;;;;;
2018-10-23 12:35:16;203;637;100;Kein Fehler erkannt;0.00;700;0.00;;;;;;;;
2018-10-23 13:35:24;203;637;98;Kein Fehler erkannt;1.09;700;0.00;;;;;;;;
2018-10-23 14:35:32;203;637;99;Kein Fehler erkannt;0.85;700;0.00;;;;;;;;
2018-10-23 15:35:41;203;637;100;Kein Fehler erkannt;0.00;700;0.00;;;;;;;;
2018-10-23 16:35:48;203;637;100;Kein Fehler erkannt;0.00;700;0.00;;;;;;;;
2018-10-23 17:35:57;198;622;100;Kein Fehler erkannt;0.00;700;0.00;;;;;;;;
2018-10-23 17:38:39;204;640;97;Kein Fehler erkannt;2.96;720;0.00;;;;;;;;
