Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-10-28 07:04:53;373;1171;98;Kein Fehler erkannt;1.09;140;5.90;;;;;;;;
2018-10-28 08:05:02;373;1171;97;Kein Fehler erkannt;2.17;140;5.90;;;;;;;;
2018-10-28 09:05:11;373;1171;100;Kein Fehler erkannt;0.00;140;5.90;;;;;;;;
2018-10-28 10:05:18;372;1168;98;Kein Fehler erkannt;1.55;140;5.90;;;;;;;;
2018-10-28 10:40:15;385;1209;98;Kein Fehler erkannt;1.26;140;6.20;;;;;;;;
2018-10-28 10:42:29;385;1209;96;Kein Fehler erkannt;3.46;140;6.49;;;;;;;;
2018-10-28 11:42:37;466;1463;95;Kein Fehler erkannt;4.33;140;8.85;0;254;215;0;OK;;;
2018-10-28 12:42:44;546;1715;94;Kein Fehler erkannt;5.70;140;10.91;0;252;226;0;OK;;;
2018-10-28 13:42:53;590;1853;100;Kein Fehler erkannt;0.00;140;12.10;0;138;138;0;OK;;;
2018-10-28 14:43:00;588;1847;94;Kein Fehler erkannt;6.26;140;12.39;;;;;;;;
2018-10-28 15:43:09;587;1844;100;Kein Fehler erkannt;0.00;140;12.39;;;;;;;;
2018-10-28 16:43:17;582;1828;93;Kein Fehler erkannt;6.60;140;12.39;;;;;;;;
2018-10-28 17:43:25;583;1831;92;Kein Fehler erkannt;7.61;140;12.39;;;;;;;;
2018-10-28 18:43:34;583;1831;100;Kein Fehler erkannt;0.00;140;12.39;;;;;;;;
2018-10-28 19:43:42;581;1825;97;Kein Fehler erkannt;2.45;140;12.39;;;;;;;;
2018-10-28 20:43:50;574;1803;94;Kein Fehler erkannt;6.03;140;12.39;;;;;;;;
2018-10-28 21:43:58;575;1806;100;Kein Fehler erkannt;0.00;140;12.39;;;;;;;;
2018-10-28 22:44:07;569;1787;94;Kein Fehler erkannt;5.89;140;12.39;;;;;;;;
2018-10-28 23:44:15;571;1793;94;Kein Fehler erkannt;5.33;140;11.80;;;;;;;;
2018-10-29 00:44:23;571;1793;96;Kein Fehler erkannt;3.78;140;11.51;;;;;;;;
2018-10-29 01:44:32;568;1784;100;Kein Fehler erkannt;0.00;140;9.44;;;;;;;;
2018-10-29 02:44:39;568;1784;100;Kein Fehler erkannt;0.00;140;8.26;;;;;;;;
2018-10-29 03:44:48;570;1790;98;Kein Fehler erkannt;1.57;140;7.67;;;;;;;;
2018-10-29 04:44:56;570;1790;98;Kein Fehler erkannt;1.47;140;7.38;;;;;;;;
2018-10-29 05:45:04;565;1775;95;Kein Fehler erkannt;4.62;140;7.08;;;;;;;;
