Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-02 16:57:32;552;1734;99;Kein Fehler erkannt;0.62;20;1.48;;;;;;;;
2018-11-02 17:57:40;551;1731;98;Kein Fehler erkannt;1.57;20;1.48;;;;;;;;
2018-11-02 18:57:49;550;1727;94;Kein Fehler erkannt;5.50;20;1.48;;;;;;;;
2018-11-02 19:57:56;545;1712;100;Kein Fehler erkannt;0.00;20;0.30;;;;;;;;
2018-11-02 20:58:05;547;1718;98;Kein Fehler erkannt;1.30;20;0.00;;;;;;;;
2018-11-02 21:58:14;541;1699;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-02 22:58:21;541;1699;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-02 23:58:30;541;1699;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 00:58:38;541;1699;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;97;97;
2018-11-03 01:58:46;541;1699;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 02:58:55;541;1699;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 03:59:03;540;1696;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 04:59:10;540;1696;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 05:59:19;539;1693;93;Kein Fehler erkannt;6.95;20;0.00;;;;;;;;
2018-11-03 06:59:28;533;1674;95;Kein Fehler erkannt;4.36;20;0.00;;;;;;;;
2018-11-03 07:59:35;534;1677;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 08:59:44;531;1668;94;Kein Fehler erkannt;6.16;20;0.00;;;;;;;;
2018-11-03 09:59:52;530;1665;98;Kein Fehler erkannt;1.21;20;0.00;;;;;;;;
2018-11-03 11:00:00;529;1661;98;Kein Fehler erkannt;1.41;20;0.00;;;;;;;;
2018-11-03 12:00:09;529;1661;98;Kein Fehler erkannt;1.57;20;0.00;;;;;;;;
2018-11-03 13:00:17;523;1643;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 14:00:25;523;1643;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 15:00:33;523;1643;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 16:00:41;526;1652;98;Kein Fehler erkannt;1.57;20;0.00;;;;;;;;
2018-11-03 17:00:50;526;1652;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 18:00:58;525;1649;99;Kein Fehler erkannt;1.02;20;0.00;;;;;;;;
2018-11-03 19:01:06;520;1633;97;Kein Fehler erkannt;3.02;20;0.00;;;;;;;;
2018-11-03 20:01:14;519;1630;98;Kein Fehler erkannt;1.09;20;0.00;;;;;;;;
2018-11-03 21:01:23;520;1633;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 22:01:31;522;1639;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-03 23:01:39;522;1639;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 00:01:48;522;1639;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;60;157;
2018-11-04 01:01:55;522;1639;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 02:02:04;521;1636;99;Kein Fehler erkannt;0.44;20;0.00;;;;;;;;
2018-11-04 03:02:12;522;1639;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 04:02:20;522;1639;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 05:02:29;522;1639;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 06:02:37;515;1617;98;Kein Fehler erkannt;1.52;20;0.00;;;;;;;;
2018-11-04 07:02:45;516;1621;98;Kein Fehler erkannt;1.54;20;0.00;;;;;;;;
2018-11-04 08:02:53;511;1605;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 09:03:02;511;1605;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 10:03:12;511;1605;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 11:03:18;511;1605;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-04 12:03:27;511;1605;99;Kein Fehler erkannt;0.44;20;0.00;;;;;;;;
2018-11-04 13:03:34;513;1611;98;Kein Fehler erkannt;1.52;20;0.00;;;;;;;;
